"X__run_id","cache_strategy","input_description","execution_time","execution_time_1","execution_time_2","average_cpu_usage","memory_usage","energy_consumption","size_of_input","function_name","implementation","category"
"run_1_repetition_0","fibonacci_cache","10 terms",3.28199821524322e-05,6.26302789896727e-06,3.92959918826818e-07,8.18556811,28054.28645833,9.3518669128418,"small","fibonacci","cached","Recursive"
"run_2_repetition_0","fibonacci_lru_cache","10 terms",3.18500096909702e-05,6.46297121420503e-06,5.43019268661737e-07,8.02083347,27906.98828125,9.04346278381348,"small","fibonacci","lru_cached","Recursive"
"run_3_repetition_0","fibonacci","20 terms",0.00279437302378938,0.00135605502873659,0.0014144090237096,8.70601002,27969.296875,10.4741004943848,"medium","fibonacci","base","Recursive"
"run_4_repetition_0","fibonacci_cache","20 terms",3.44979926012456e-05,8.8659580796957e-06,4.51982486993074e-07,6.55438318,27965.87109375,9.25259323883057,"medium","fibonacci","cached","Recursive"
"run_5_repetition_0","fibonacci_lru_cache","20 terms",3.55619704350829e-05,8.87195346876979e-06,4.41970769315958e-07,13.747259,27941.09114583,8.89151458740234,"medium","fibonacci","lru_cached","Recursive"
"run_6_repetition_0","fibonacci","30 terms",0.311281447007786,0.157358049007598,0.153890787973069,11.77612032,27925.79785156,18.1501285820007,"large","fibonacci","base","Recursive"
"run_7_repetition_0","fibonacci_cache","30 terms",3.87940090149641e-05,1.26700033433735e-05,4.83996700495481e-07,10.3832974,27943.30208333,8.87007817077637,"large","fibonacci","cached","Recursive"
"run_8_repetition_0","fibonacci_lru_cache","30 terms",3.85610037483275e-05,1.27549865283072e-05,4.34985850006342e-07,10.53075416,27943.7421875,9.35171284103393,"large","fibonacci","lru_cached","Recursive"
"run_0_repetition_0","floyd_warshall","8x8 graph",0.495722897001542,0.258819548995234,0.236880995973479,17.1728536,27571.41536458,40.4434862136841,"small","floyd_warshall","base","Non-Recursive"
"run_1_repetition_0","floyd_warshall_cache","8x8 graph",0.255817025958095,0.255792541953269,4.816974978894e-06,14.7323783,27573.28808594,20.5121308021545,"small","floyd_warshall","cached","Non-Recursive"
"run_2_repetition_0","floyd_warshall_lru_cache","8x8 graph",0.262479326978792,0.262454305018764,5.39596658200026e-06,16.64254179,27569.81152344,22.0638065185547,"small","floyd_warshall","lru_cached","Non-Recursive"
"run_3_repetition_0","floyd_warshall","9x9 graph",1.89434516901383,0.953680553007871,0.940642986970488,21.943444,27602.84765625,100.287796020508,"medium","floyd_warshall","base","Non-Recursive"
"run_4_repetition_0","floyd_warshall_cache","9x9 graph",0.943053016031627,0.943028634996153,5.47000672668219e-06,14.48182553,27591.47216797,54.1334917449951,"medium","floyd_warshall","cached","Non-Recursive"
"run_5_repetition_0","floyd_warshall_lru_cache","9x9 graph",0.999778593017254,0.999752136995085,5.70702832192183e-06,14.94915389,27530.30371094,64.6872695922852,"medium","floyd_warshall","lru_cached","Non-Recursive"
"run_6_repetition_0","floyd_warshall","10x10 graph",6.99912352103274,3.48091170104453,3.51819220598554,15.10348466,27607.09210526,504.497013160706,"large","floyd_warshall","base","Non-Recursive"
"run_7_repetition_0","floyd_warshall_cache","10x10 graph",3.37179490498966,3.3717352229869,6.5350322984159e-06,12.29212257,28001.2109375,216.20948683548,"large","floyd_warshall","cached","Non-Recursive"
"run_8_repetition_0","floyd_warshall_lru_cache","10x10 graph",3.40761466900585,3.40758585301228,7.2779948823154e-06,12.66812649,27990.90996094,213.277946567535,"large","floyd_warshall","lru_cached","Non-Recursive"
"run_0_repetition_0","tower_of_hanoi","10 disks",0.000165306031703949,7.04670092090964e-05,6.83270045556128e-05,10.09529048,28596.47395833,7.90792364120483,"small","tower_of_hanoi","base","Recursive"
"run_1_repetition_0","tower_of_hanoi_cache","10 disks",3.79569828510284e-05,1.36169837787747e-05,6.08968548476696e-07,5.60515875,28575.02734375,7.54641488265991,"small","tower_of_hanoi","cached","Recursive"
"run_2_repetition_0","tower_of_hanoi_lru_cache","10 disks",3.66750173270702e-05,1.28250103443861e-05,5.71017153561115e-07,3.67559526,28586.33203125,7.39431596374512,"small","tower_of_hanoi","lru_cached","Recursive"
"run_3_repetition_0","tower_of_hanoi","15 disks",0.00420195201877505,0.00208509399089962,0.00209533603629097,3.92857142,28575.12890625,7.43699079895019,"medium","tower_of_hanoi","base","Recursive"
"run_4_repetition_0","tower_of_hanoi_cache","15 disks",4.22089942730963e-05,1.76880275830626e-05,7.61006958782673e-07,7.48564134,28565.3828125,9.61875120544434,"medium","tower_of_hanoi","cached","Recursive"
"run_5_repetition_0","tower_of_hanoi_lru_cache","15 disks",4.13079978898168e-05,1.78730115294456e-05,6.78992364555597e-07,6.71679203,28525.55989583,8.00237594604492,"medium","tower_of_hanoi","lru_cached","Recursive"
"run_6_repetition_0","tower_of_hanoi","20 disks",0.115529522008728,0.0593843439710326,0.0561278270324692,6.51041667,28520.4609375,7.24608306884766,"large","tower_of_hanoi","base","Recursive"
"run_7_repetition_0","tower_of_hanoi_cache","20 disks",5.03750052303076e-05,2.64430418610573e-05,6.57979398965836e-07,8.81448422,28513.40234375,7.3691654586792,"large","tower_of_hanoi","cached","Recursive"
"run_8_repetition_0","tower_of_hanoi_lru_cache","20 disks",4.56499983556569e-05,2.24529649131e-05,6.55010808259249e-07,5.13392862,28510.75,7.2347325553894,"large","tower_of_hanoi","lru_cached","Recursive"
"run_0_repetition_0","hessian","10 elements",0.00348027097061276,0.00174578599398956,0.00172624998958781,9.09438966,26282.00022978,150.470799842834,"small","hessian","base","Non-Recursive"
"run_1_repetition_0","hessian_cache","10 elements",0.00234585098223761,0.00233411596855149,1.01100886240602e-06,11.80604063,26409.59570312,184.090645088196,"small","hessian","cached","Non-Recursive"
"run_2_repetition_0","hessian_lru_cache","10 elements",0.00201744597870857,0.00200740899890661,7.50005710870028e-07,8.46360999,26842.91748047,134.092160675049,"small","hessian","lru_cached","Non-Recursive"
